"id","conjunto","input","expected_route_or_service","must_include","expected_output","expectedOutput"
"HP-01","HappyPath","Quiero validar una oferta completa","MainMenu->CargarContenido","Validar oferta completa","Validar oferta completa","Validar oferta completa"
"HP-02","HappyPath","Es un servicio de soporte y mantenimiento con SLA y baseline","SoporteMantenimiento","detectado automaticamente","Tipo de servicio detectado automaticamente: SoporteMantenimiento","Tipo de servicio detectado automaticamente: SoporteMantenimiento"
"HP-03","HappyPath","Oferta de bolsa de horas para evolutivos","BolsaHoras","bolsa de horas","Tipo de servicio detectado automaticamente: BolsaHoras","Tipo de servicio detectado automaticamente: BolsaHoras"
"HP-04","HappyPath","Propuesta de team agile por sprints con backlog","TeamAgile","team agile","Tipo de servicio detectado automaticamente: TeamAgile","Tipo de servicio detectado automaticamente: TeamAgile"
"HP-05","HappyPath","Proyecto cerrado con alcance y fecha de entrega","ProyectoCerradoEvolutivo","proyecto cerrado","Tipo de servicio detectado automaticamente: ProyectoCerradoEvolutivo","Tipo de servicio detectado automaticamente: ProyectoCerradoEvolutivo"
"HP-06","HappyPath","Servicio de consultoria y adopcion con plan de cambio","ConsultoriaAdopcion","consultoria","Tipo de servicio detectado automaticamente: ConsultoriaAdopcion","Tipo de servicio detectado automaticamente: ConsultoriaAdopcion"
"HP-07","HappyPath","Mostrar resultado","MostrarResultado","Trazabilidad: tipo de servicio","Trazabilidad: tipo de servicio","Trazabilidad: tipo de servicio"
"EP-01","ErrorPath","Solo tengo un resumen de dos lineas","InformacionInsuficiente","Falta informacion","Falta informacion para validar la oferta","Falta informacion para validar la oferta"
"EP-02","ErrorPath","El pdf no funciona","ErrorAdjunto","Elige una alternativa","No se pudo procesar el PDF de la oferta. Elige una alternativa.","No se pudo procesar el PDF de la oferta. Elige una alternativa."
"EP-03","ErrorPath","Ha ocurrido un error","OnError","Cual prefieres","Cual prefieres?","Cual prefieres?"
"EP-04","ErrorPath","asdf qwer zzzz","Fallback","menu","menu","menu"
"EP-05","ErrorPath","Quiero revisar y mejorar oferta","MultipleTopicsMatched","Selecciona la intencion correcta","Selecciona la intencion correcta","Selecciona la intencion correcta"
"REG-01","Regresion","Quiero nueva revision","ReinicioControlado","Nueva revision","Nueva revision","Nueva revision"
"REG-02","Regresion","Cerrar sesion","CierreSeguro","Sesion cerrada","Sesion cerrada","Sesion cerrada"
"REG-03","Regresion","Mejora esta propuesta","MejorarOferta","Que aspecto deseas mejorar","Que aspecto deseas mejorar","Que aspecto deseas mejorar"
"HP-08","HappyPath","Servicio gestionado tipo help desk con tickets y SLA","SoporteMantenimiento","confianza Alta","Tipo de servicio detectado automaticamente: SoporteMantenimiento (confianza Alta)","Tipo de servicio detectado automaticamente: SoporteMantenimiento (confianza Alta)"
"HP-09","HappyPath","Modelo time and material con consumo de horas mensual","BolsaHoras","confianza Alta","Tipo de servicio detectado automaticamente: BolsaHoras (confianza Alta)","Tipo de servicio detectado automaticamente: BolsaHoras (confianza Alta)"
"HP-10","HappyPath","Squad scrum con velocity y backlog priorizado","TeamAgile","confianza Alta","Tipo de servicio detectado automaticamente: TeamAgile (confianza Alta)","Tipo de servicio detectado automaticamente: TeamAgile (confianza Alta)"
"HP-11","HappyPath","Fixed price con milestones y alcance cerrado","ProyectoCerradoEvolutivo","confianza Alta","Tipo de servicio detectado automaticamente: ProyectoCerradoEvolutivo (confianza Alta)","Tipo de servicio detectado automaticamente: ProyectoCerradoEvolutivo (confianza Alta)"
"HP-12","HappyPath","Advisory con workshop y change management para adopcion","ConsultoriaAdopcion","confianza Alta","Tipo de servicio detectado automaticamente: ConsultoriaAdopcion (confianza Alta)","Tipo de servicio detectado automaticamente: ConsultoriaAdopcion (confianza Alta)"
"HP-13","HappyPath","Adjunto oferta_service-desk_operacion_v3.docx","SoporteMantenimiento","confianza Media","Tipo de servicio detectado automaticamente: SoporteMantenimiento (confianza Media)","Tipo de servicio detectado automaticamente: SoporteMantenimiento (confianza Media)"
"HP-14","HappyPath","Adjunto propuesta_time-material_2026.pdf","BolsaHoras","confianza Media","Tipo de servicio detectado automaticamente: BolsaHoras (confianza Media)","Tipo de servicio detectado automaticamente: BolsaHoras (confianza Media)"
"HP-15","HappyPath","Adjunto team_agile_backlog_sprint5.pptx","TeamAgile","confianza Media","Tipo de servicio detectado automaticamente: TeamAgile (confianza Media)","Tipo de servicio detectado automaticamente: TeamAgile (confianza Media)"
"HP-16","HappyPath","Adjunto fixed_price_milestone_plan_v1.docx","ProyectoCerradoEvolutivo","confianza Media","Tipo de servicio detectado automaticamente: ProyectoCerradoEvolutivo (confianza Media)","Tipo de servicio detectado automaticamente: ProyectoCerradoEvolutivo (confianza Media)"
"HP-17","HappyPath","Adjunto consulting_change_adoption_pack.pdf","ConsultoriaAdopcion","confianza Media","Tipo de servicio detectado automaticamente: ConsultoriaAdopcion (confianza Media)","Tipo de servicio detectado automaticamente: ConsultoriaAdopcion (confianza Media)"
