"Pregunta","Respuesta esperada"
"Quiero validar una oferta completa","Validar oferta completa"
"Es un servicio de soporte y mantenimiento con SLA y baseline","Tipo de servicio detectado automaticamente: SoporteMantenimiento"
"Oferta de bolsa de horas para evolutivos","Tipo de servicio detectado automaticamente: BolsaHoras"
"Propuesta de team agile por sprints con backlog","Tipo de servicio detectado automaticamente: TeamAgile"
"Proyecto cerrado con alcance y fecha de entrega","Tipo de servicio detectado automaticamente: ProyectoCerradoEvolutivo"
"Servicio de consultoria y adopcion con plan de cambio","Tipo de servicio detectado automaticamente: ConsultoriaAdopcion"
"Mostrar resultado","Trazabilidad: tipo de servicio"
"Solo tengo un resumen de dos lineas","Falta informacion para validar la oferta"
"El pdf no funciona","No se pudo procesar el PDF de la oferta. Elige una alternativa."
"Ha ocurrido un error","Cual prefieres?"
"asdf qwer zzzz","menu"
"Quiero revisar y mejorar oferta","Selecciona la intencion correcta"
"Quiero nueva revision","Nueva revision"
"Cerrar sesion","Sesion cerrada"
"Mejora esta propuesta","Que aspecto deseas mejorar"
"Servicio gestionado tipo help desk con tickets y SLA","Tipo de servicio detectado automaticamente: SoporteMantenimiento (confianza Alta)"
"Modelo time and material con consumo de horas mensual","Tipo de servicio detectado automaticamente: BolsaHoras (confianza Alta)"
"Squad scrum con velocity y backlog priorizado","Tipo de servicio detectado automaticamente: TeamAgile (confianza Alta)"
"Fixed price con milestones y alcance cerrado","Tipo de servicio detectado automaticamente: ProyectoCerradoEvolutivo (confianza Alta)"
"Advisory con workshop y change management para adopcion","Tipo de servicio detectado automaticamente: ConsultoriaAdopcion (confianza Alta)"
"Adjunto oferta_service-desk_operacion_v3.docx","Tipo de servicio detectado automaticamente: SoporteMantenimiento (confianza Media)"
"Adjunto propuesta_time-material_2026.pdf","Tipo de servicio detectado automaticamente: BolsaHoras (confianza Media)"
"Adjunto team_agile_backlog_sprint5.pptx","Tipo de servicio detectado automaticamente: TeamAgile (confianza Media)"
"Adjunto fixed_price_milestone_plan_v1.docx","Tipo de servicio detectado automaticamente: ProyectoCerradoEvolutivo (confianza Media)"
"Adjunto consulting_change_adoption_pack.pdf","Tipo de servicio detectado automaticamente: ConsultoriaAdopcion (confianza Media)"
