"id","conjunto","input","must_include","expected_route_or_service"
"HP-01","HappyPath","Quiero validar una oferta completa","Validar oferta completa","MainMenu->CargarContenido"
"HP-02","HappyPath","Es un servicio de soporte y mantenimiento con SLA y baseline","detectado automaticamente","SoporteMantenimiento"
"HP-03","HappyPath","Oferta de bolsa de horas para evolutivos","bolsa de horas","BolsaHoras"
"HP-04","HappyPath","Propuesta de team agile por sprints con backlog","team agile","TeamAgile"
"HP-05","HappyPath","Proyecto cerrado con alcance y fecha de entrega","proyecto cerrado","ProyectoCerradoEvolutivo"
"HP-06","HappyPath","Servicio de consultoria y adopcion con plan de cambio","consultoria","ConsultoriaAdopcion"
"HP-07","HappyPath","Mostrar resultado","Trazabilidad: tipo de servicio","MostrarResultado"
"EP-01","ErrorPath","Solo tengo un resumen de dos lineas","Falta informacion","InformacionInsuficiente"
"EP-02","ErrorPath","El pdf no funciona","Elige una alternativa","ErrorAdjunto"
"EP-03","ErrorPath","Ha ocurrido un error","Cual prefieres","OnError"
"EP-04","ErrorPath","asdf qwer zzzz","menu","Fallback"
"EP-05","ErrorPath","Quiero revisar y mejorar oferta","Selecciona la intencion correcta","MultipleTopicsMatched"
"REG-01","Regresion","Quiero nueva revision","Nueva revision","ReinicioControlado"
"REG-02","Regresion","Cerrar sesion","Sesion cerrada","CierreSeguro"
"REG-03","Regresion","Mejora esta propuesta","Que aspecto deseas mejorar","MejorarOferta"
"HP-08","HappyPath","Servicio gestionado tipo help desk con tickets y SLA","confianza Alta","SoporteMantenimiento"
"HP-09","HappyPath","Modelo time and material con consumo de horas mensual","confianza Alta","BolsaHoras"
"HP-10","HappyPath","Squad scrum con velocity y backlog priorizado","confianza Alta","TeamAgile"
"HP-11","HappyPath","Fixed price con milestones y alcance cerrado","confianza Alta","ProyectoCerradoEvolutivo"
"HP-12","HappyPath","Advisory con workshop y change management para adopcion","confianza Alta","ConsultoriaAdopcion"
"HP-13","HappyPath","Adjunto oferta_service-desk_operacion_v3.docx","confianza Media","SoporteMantenimiento"
"HP-14","HappyPath","Adjunto propuesta_time-material_2026.pdf","confianza Media","BolsaHoras"
"HP-15","HappyPath","Adjunto team_agile_backlog_sprint5.pptx","confianza Media","TeamAgile"
"HP-16","HappyPath","Adjunto fixed_price_milestone_plan_v1.docx","confianza Media","ProyectoCerradoEvolutivo"
"HP-17","HappyPath","Adjunto consulting_change_adoption_pack.pdf","confianza Media","ConsultoriaAdopcion"
